Loading rate (kg/day),,,,,,
,,,,,,
Hour,Day,Vedows_grass combo,Actual_grass,PM,Total,Biogas
0,26/03/2020,57,21.09,,57,2.89
1,26/03/2020,39,14.43,,39,2.89
2,26/03/2020,58,21.46,,58,2.9
3,26/03/2020,67,24.79,,67,2.93
4,26/03/2020,39,14.43,,39,2.96
5,26/03/2020,42,15.54,,42,2.99
6,26/03/2020,115,42.55,,115,3.01
7,26/03/2020,38,14.06,,38,3
8,26/03/2020,10,3.7,,10,2.97
9,26/03/2020,67,24.79,,67,2.91
10,26/03/2020,67,24.79,,67,2.88
11,26/03/2020,68,25.16,,68,2.84
12,26/03/2020,38,14.06,,38,2.78
13,26/03/2020,28,10.36,,28,2.81
14,26/03/2020,67,24.79,,67,2.77
15,26/03/2020,48,17.76,,48,2.8
16,26/03/2020,77,28.49,,77,2.86
17,26/03/2020,77,28.49,,77,2.9
18,26/03/2020,39,14.43,,39,2.93
19,26/03/2020,76,28.12,,76,2.98
20,26/03/2020,80,29.6,,80,3.03
21,26/03/2020,58,21.46,,58,3.06
22,26/03/2020,114,42.18,,114,3.07
23,26/03/2020,58,21.46,,58,3.08
0,27/03/2020,0,0,,0,3.07
1,27/03/2020,-10,-3.7,,-10,3.08
2,27/03/2020,10,3.7,,10,3.07
3,27/03/2020,10,3.7,,10,3.07
4,27/03/2020,20,7.4,,20,3.08
5,27/03/2020,10,3.7,,10,3.08
6,27/03/2020,10,3.7,,10,3.08
7,27/03/2020,0,0,,0,3.07
8,27/03/2020,0,0,,0,3.02
9,27/03/2020,9,3.33,,9,2.94
10,27/03/2020,,0,,0,2.87
11,27/03/2020,,0,,0,2.83
12,27/03/2020,,0,,0,2.78
13,27/03/2020,,0,,0,2.79
14,27/03/2020,,0,,0,2.75
15,27/03/2020,,0,,0,2.78
16,27/03/2020,,0,,0,2.84
17,27/03/2020,,0,,0,2.87
18,27/03/2020,,0,,0,2.94
19,27/03/2020,,0,,0,3.03
20,27/03/2020,,0,,0,3.07
21,27/03/2020,,0,,0,3.07
22,27/03/2020,,0,,0,3.05
23,27/03/2020,,0,,0,3.04
0,28/03/2020,,0,,0,3.03
1,28/03/2020,,0,,0,3.02
2,28/03/2020,,0,,0,3.04
3,28/03/2020,,0,,0,3.06
4,28/03/2020,,0,,0,3.07
5,28/03/2020,,0,,0,3.07
6,28/03/2020,,0,,0,3.07
7,28/03/2020,,0,,0,3.06
8,28/03/2020,,0,,0,3
9,28/03/2020,,0,,0,2.95
10,28/03/2020,,0,,0,2.89
11,28/03/2020,,0,,0,2.84
12,28/03/2020,,0,,0,2.79
13,28/03/2020,,0,,0,2.78
14,28/03/2020,,0,,0,2.8
15,28/03/2020,,0,,0,2.89
16,28/03/2020,,0,,0,3
17,28/03/2020,,0,,0,3.05
18,28/03/2020,,0,,0,3.09
19,28/03/2020,,0,,0,3.13
20,28/03/2020,,0,,0,3.14
21,28/03/2020,,0,,0,3.12
22,28/03/2020,,0,,0,3.08
23,28/03/2020,,0,,0,3.08
0,29/03/2020,,0,,0,3.08
1,29/03/2020,,0,,0,3.1
2,29/03/2020,,0,,0,3.09
3,29/03/2020,,0,,0,3.09
4,29/03/2020,,0,,0,3.1
5,29/03/2020,,0,,0,3.08
6,29/03/2020,,0,,0,3.1
7,29/03/2020,,0,115,115,3.1
8,29/03/2020,,0,,0,3.06
9,29/03/2020,,0,100,100,3
10,29/03/2020,,0,,0,2.95
11,29/03/2020,,0,100,100,2.99
12,29/03/2020,,0,,0,3.01
13,29/03/2020,,0,100,100,3
14,29/03/2020,,0,,0,2.99
15,29/03/2020,,0,100,100,3.02
16,29/03/2020,,0,,0,3.04
17,29/03/2020,,0,100,100,3.08
18,29/03/2020,,0,,0,3.11
19,29/03/2020,,0,115,115,3.16
20,29/03/2020,,0,,0,3.16
21,29/03/2020,,0,115,115,3.16
22,29/03/2020,,0,,0,3.16
23,29/03/2020,,0,115,115,3.16
0,30/03/2020,,0,,0,3.17
1,30/03/2020,,0,115,115,3.18
2,30/03/2020,,0,,0,3.21
3,30/03/2020,,0,115,115,3.23
4,30/03/2020,,0,,0,3.23
5,30/03/2020,,0,115,115,3.19
6,30/03/2020,,0,,0,3.16
7,30/03/2020,,0,115,115,3.11
8,30/03/2020,,0,,0,3.04
9,30/03/2020,,0,115,115,3
10,30/03/2020,,0,,0,2.96
11,30/03/2020,,0,115,115,2.91
12,30/03/2020,,0,,0,2.81
13,30/03/2020,,0,115,115,2.87
14,30/03/2020,,0,,0,2.89
15,30/03/2020,,0,,0,2.95
16,30/03/2020,,0,,0,3.06
17,30/03/2020,,0,,0,3.02
18,30/03/2020,,0,,0,3.04
19,30/03/2020,,0,,0,3.06
20,30/03/2020,,0,,0,3.1
21,30/03/2020,,0,,0,3.06
22,30/03/2020,,0,,0,3.07
23,30/03/2020,,0,,0,3.09
0,31/03/2020,,0,,0,3.1
1,31/03/2020,,0,,0,3.11
2,31/03/2020,,0,,0,3.13
3,31/03/2020,,0,,0,3.13
4,31/03/2020,,0,,0,3.13
5,31/03/2020,,0,,0,3.12
6,31/03/2020,,0,,0,3.14
7,31/03/2020,,0,,0,3.13
8,31/03/2020,,0,,0,3.08
9,31/03/2020,,0,,0,3.02
10,31/03/2020,,0,,0,2.97
11,31/03/2020,,0,,0,2.94
12,31/03/2020,,0,,0,2.88
13,31/03/2020,,0,,0,2.9
14,31/03/2020,,0,,0,2.85
15,31/03/2020,,0,,0,2.88
16,31/03/2020,,0,,0,2.94
17,31/03/2020,,0,,0,2.96
18,31/03/2020,,0,,0,2.99
19,31/03/2020,,0,,0,3.08
20,31/03/2020,,0,,0,3.15
21,31/03/2020,,0,,0,3.16
22,31/03/2020,,0,,0,3.15
23,31/03/2020,,0,,0,3.13
0,1/04/2020,,0,,0,3.13
1,1/04/2020,,0,,0,3.12
2,1/04/2020,,0,,0,3.12
3,1/04/2020,,0,,0,3.11
4,1/04/2020,,0,,0,3.1
5,1/04/2020,,0,,0,3.1
6,1/04/2020,,0,,0,3.1
7,1/04/2020,,0,,0,3.07
8,1/04/2020,,0,,0,3.02
9,1/04/2020,,0,,0,2.95
10,1/04/2020,,0,,0,2.89
11,1/04/2020,,0,,0,2.85
12,1/04/2020,,0,,0,2.81
13,1/04/2020,,0,,0,2.83
14,1/04/2020,,0,115,115,2.78
15,1/04/2020,,0,,0,2.84
16,1/04/2020,,0,115,115,2.91
17,1/04/2020,,0,,0,2.97
18,1/04/2020,,0,115,115,3.02
19,1/04/2020,,0,,0,3.1
20,1/04/2020,,0,115,115,3.1
21,1/04/2020,,0,,0,3.09
22,1/04/2020,,0,115,115,3.09
23,1/04/2020,,0,,0,3.08
0,2/04/2020,,0,115,115,3.05
1,2/04/2020,,0,,0,3
2,2/04/2020,,0,115,115,2.98
3,2/04/2020,,0,,0,2.96
